"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"AS-Entry-Bivariate"
"04/12/2020 13:09:41:996 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"22","0.5","10","10","1","0","10","0.5","40","1000","0.17595628415300546","0.24735883424408014","0.3420523138832998"
"26","0.5","10","10","1","0","10","0.5","50","1000","0.10564663023679417","0.20473588342440802","0.17806841046277666"
"25","0.5","10","10","1","0","10","0.5","40","1000","0.08925318761384335","0.17632058287795993","0.14587525150905434"
"27","0.5","10","10","1","0","10","0.5","50","1000","0.14499089253187614","0.23096539162112933","0.31438631790744465"
"28","0.5","10","10","1","0","10","0.5","50","1000","0.16174863387978142","0.24262295081967214","0.3073440643863179"
"29","0.5","10","10","1","0","10","0.5","50","1000","0.1901639344262295","0.229143897996357","0.32494969818913483"
"30","0.5","10","10","1","0","10","0.5","50","1000","0.14826958105646632","0.26229508196721313","0.3254527162977867"
"31","0.5","10","10","1","0","10","0.5","60","1000","0.11876138433515483","0.21129326047358835","0.19014084507042253"
"32","0.5","10","10","1","0","10","0.5","60","1000","0.14025500910746813","0.21420765027322405","0.2766599597585513"
"33","0.5","10","10","1","0","10","0.5","60","1000","0.1894353369763206","0.25245901639344265","0.35865191146881287"
"35","0.5","10","10","1","0","10","0.5","60","1000","0.15300546448087432","0.23278688524590163","0.26458752515090544"
"34","0.5","10","10","1","0","10","0.5","60","1000","0.18870673952641165","0.2495446265938069","0.33249496981891347"
"37","0.5","10","10","1","0","10","0.5","70","1000","0.14025500910746813","0.2273224043715847","0.2625754527162978"
"36","0.5","10","10","1","0","10","0.5","70","1000","0.19927140255009107","0.2284153005464481","0.31841046277665996"
"38","0.5","10","10","1","0","10","0.5","70","1000","0.12131147540983607","0.19562841530054645","0.24496981891348088"
"39","0.5","10","10","1","0","10","0.5","70","1000","0.20145719489981784","0.2459016393442623","0.3415492957746479"
"41","0.5","10","10","1","0","10","0.5","80","1000","0.18324225865209473","0.22513661202185792","0.32344064386317906"
"43","0.5","10","10","1","0","10","0.5","80","1000","0.21639344262295082","0.24808743169398906","0.4104627766599598"
"40","0.5","10","10","1","0","10","0.5","70","1000","0.16320582877959927","0.23387978142076501","0.29124748490945673"
"42","0.5","10","10","1","0","10","0.5","80","1000","0.21165755919854282","0.2553734061930783","0.3782696177062374"
"44","0.5","10","10","1","0","10","0.5","80","1000","0.22295081967213115","0.24225865209471767","0.3677062374245473"
"45","0.5","10","10","1","0","10","0.5","80","1000","0.18032786885245902","0.25428051001821494","0.34305835010060365"
"46","0.5","10","10","1","0","10","0.5","90","1000","0.17923497267759564","0.2058287795992714","0.31237424547283704"
"47","0.5","10","10","1","0","10","0.5","90","1000","0.21129326047358835","0.2371584699453552","0.3596579476861167"
"48","0.5","10","10","1","0","10","0.5","90","1000","0.1989071038251366","0.25901639344262295","0.3672032193158954"
"49","0.5","10","10","1","0","10","0.5","90","1000","0.20692167577413478","0.25719489981785065","0.3888329979879276"
"50","0.5","10","10","1","0","10","0.5","90","1000","0.1883424408014572","0.23934426229508196","0.33601609657947684"
"51","0.5","10","10","1","0","10","0.5","100","1000","0.22695810564663024","0.23096539162112933","0.3672032193158954"
"52","0.5","10","10","1","0","10","0.5","100","1000","0.20728597449908925","0.2502732240437158","0.36016096579476864"
"54","0.5","10","10","1","0","10","0.5","100","1000","0.1901639344262295","0.258287795992714","0.3596579476861167"
"53","0.5","10","10","1","0","10","0.5","100","1000","0.22477231329690345","0.25428051001821494","0.403420523138833"
"56","0.5","10","10","1","3","10","0.5","0","1000","0.06775956284153005","0.1628415300546448","0.09959758551307847"
"55","0.5","10","10","1","0","10","0.5","100","1000","0.2520947176684882","0.26193078324225866","0.4416498993963783"
"57","0.5","10","10","1","3","10","0.5","0","1000","0.08816029143897997","0.16429872495446265","0.12525150905432594"
"58","0.5","10","10","1","3","10","0.5","0","1000","0.09180327868852459","0.2029143897996357","0.13933601609657947"
"60","0.5","10","10","1","3","10","0.5","0","1000","0.07285974499089254","0.17304189435336975","0.09909456740442656"
"59","0.5","10","10","1","3","10","0.5","0","1000","0.09398907103825137","0.20072859744990892","0.13531187122736418"
"61","0.5","10","10","1","3","10","0.5","10","1000","0.07540983606557378","0.1930783242258652","0.13480885311871227"
"62","0.5","10","10","1","3","10","0.5","10","1000","0.05865209471766849","0.1650273224043716","0.07997987927565392"
"63","0.5","10","10","1","3","10","0.5","10","1000","0.07067395264116576","0.1883424408014572","0.14185110663983905"
"64","0.5","10","10","1","3","10","0.5","10","1000","0.07468123861566485","0.1737704918032787","0.12173038229376258"
"65","0.5","10","10","1","3","10","0.5","10","1000","0.04954462659380692","0.16138433515482695","0.08651911468812877"
"66","0.5","10","10","1","3","10","0.5","20","1000","0.08451730418943534","0.19672131147540983","0.14989939637826963"
"24","0.5","10","10","1","0","10","0.5","40","1000","0.1296903460837887","0.23060109289617486","0.2454728370221328"
"67","0.5","10","10","1","3","10","0.5","20","1000","0.06630236794171221","0.18178506375227688","0.12072434607645875"
"68","0.5","10","10","1","3","10","0.5","20","1000","0.10856102003642987","0.2255009107468124","0.2278672032193159"
"70","0.5","10","10","1","3","10","0.5","20","1000","0.10127504553734062","0.17887067395264117","0.15492957746478872"
"69","0.5","10","10","1","3","10","0.5","20","1000","0.11475409836065574","0.21967213114754097","0.19567404426559357"
"71","0.5","10","10","1","3","10","0.5","30","1000","0.10091074681238615","0.20437158469945355","0.19164989939637828"
"72","0.5","10","10","1","3","10","0.5","30","1000","0.12859744990892533","0.2262295081967213","0.267102615694165"
"73","0.5","10","10","1","3","10","0.5","30","1000","0.08670309653916211","0.18688524590163935","0.14989939637826963"
"74","0.5","10","10","1","3","10","0.5","30","1000","0.11329690346083789","0.20801457194899817","0.19114688128772636"
"76","0.5","10","10","1","3","10","0.5","40","1000","0.11438979963570127","0.23533697632058287","0.2152917505030181"
"75","0.5","10","10","1","3","10","0.5","30","1000","0.14098360655737704","0.2273224043715847","0.26458752515090544"
"77","0.5","10","10","1","3","10","0.5","40","1000","0.1355191256830601","0.2222222222222222","0.2550301810865191"
"79","0.5","10","10","1","3","10","0.5","40","1000","0.13697632058287795","0.25245901639344265","0.2942655935613682"
"80","0.5","10","10","1","3","10","0.5","40","1000","0.1806921675774135","0.229143897996357","0.306841046277666"
"81","0.5","10","10","1","3","10","0.5","50","1000","0.10491803278688525","0.17923497267759564","0.15140845070422534"
"82","0.5","10","10","1","3","10","0.5","50","1000","0.1551912568306011","0.22768670309653916","0.24044265593561368"
